#;NAME;Gl;Gb;RAJD;DECJD;P0;
533;J1034-3224;272.050;22.117;158.58129582;-32.40721690;1.150590;
534;J1035-6345;288.528;-4.765;158.76283333;-63.75511389;0.579577;
535;J1035-6720;290.371;-7.843;158.86449167;-67.33685889;0.002872;
536;J1036-4353;278.724;12.553;159.12589638;-43.88575700;0.001680;
537;J1036-4926;281.519;7.727;159.05467083;-49.43922222;0.510369;
538;J1036-6559;289.766;-6.630;159.08350000;-65.98590833;0.533502;
539;J1036-8317;298.943;-21.497;159.16900417;-83.29889444;0.003408;
540;J1038+0032;247.152;48.471;159.61222083;0.54544444;0.028852;
541;B1036-58;286.284;-0.023;159.58208333;-58.52421667;0.661992;
542;B1039-19;265.591;33.590;160.40081667;-19.70378056;1.386368;
543;B1039-55;285.192;2.998;160.50202208;-55.35160917;1.170867;
544;J1043-6116;288.221;-2.106;160.98025417;-61.28076667;0.288605;
545;J1044-5737;286.574;1.163;161.13666667;-57.62202778;0.139029;
546;J1045-0436;253.616;46.410;161.25000000;-4.00000000;0.024000;
547;J1045-4509;280.851;12.254;161.45910336;-45.16502896;0.007474;
548;J1046+0304;246.412;51.697;161.68012500;3.06858333;0.326271;
549;B1044-57;287.065;0.733;161.57837500;-58.23111111;0.369428;
550;J1047-3032;273.495;25.127;161.75338998;-30.53833367;0.330328;
551;J1047-6709;291.314;-7.132;161.86784167;-67.16418500;0.198451;
552;J1048+2339;213.172;62.139;162.18090981;23.66483453;0.004665;
553;J1048+5349;154.756;54.996;162.02691667;53.83108333;2.730862;
554;B1046-58;287.427;0.577;162.05437500;-58.53505556;0.123725;
555;J1048-5838;287.473;0.485;162.05233750;-58.63861667;1.231305;
556;J1049+5822;148.656;52.241;162.40791667;58.37141667;0.727618;
557;J1049-5833;287.628;0.649;162.45975000;-58.56238889;2.202325;
558;J1050-5953;288.256;-0.520;162.52966667;-59.88927778;6.452077;
559;J1052-5954;288.549;-0.400;163.15879167;-59.91225000;0.180592;
560;J1052-6348;290.294;-3.881;163.22245833;-63.80461111;0.383830;
561;J1054-5943;288.729;-0.100;163.74062500;-59.72058333;0.346909;
562;J1054-5946;288.701;-0.174;163.62691667;-59.77527778;0.228324;
563;J1054-6452;290.889;-4.784;163.53683333;-64.87708333;1.840004;
564;J1055-6022;289.109;-0.650;163.95208333;-60.38111111;0.947558;
565;J1055-6028;289.133;-0.745;163.91329167;-60.47708333;0.099661;
566;J1055-6236;290.081;-2.660;163.97754167;-62.61341667;0.448635;
567;J1055-6905;292.879;-8.504;163.93629167;-69.08650000;2.919397;
568;J1056-5709;287.835;2.311;164.18245833;-57.15958333;0.676082;
569;B1054-62;290.292;-2.966;164.10660000;-62.97991389;0.422451;
570;J1056-7117;293.933;-10.458;164.19158333;-71.29816500;0.026310;
571;J1057-4754;284.007;10.739;164.47140833;-47.91600000;0.628306;
572;B1055-52;285.984;6.649;164.49602083;-52.44898056;0.197115;
